Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Open Drain,Slew Rate Control
A2,PD10,Eth_RxD1,ETH_RXD1,Digital,High Impedance,n/a,No,No,No,FAST
A3,PD08,Digital_Input_41,GPIO,Digital,In,n/a,No,No,No,FAST
A4,PD06,Digital_Input_42,GPIO,Digital,In,n/a,No,No,No,FAST
A5,PD19,Digital_Input_16,GPIO,Digital,In,n/a,No,No,No,FAST
A6,PD04,Digital_Input_14,GPIO,Digital,In,n/a,No,No,No,FAST
A7,PD16,Digital_Input_12,GPIO,Digital,In,n/a,No,No,No,FAST
A8,PD27,Digital_Input_11,GPIO,Digital,In,n/a,No,No,No,FAST
A9,PD03,Digital_Input_10,GPIO,Digital,In,n/a,No,No,No,FAST
A10,PD14,I2C_SDA,SERCOM7_PAD0,Digital,High Impedance,n/a,No,No,No,FAST
A11,PD01,,OSCCTRL_XIN,Digital,High Impedance,n/a,No,No,No,FAST
A12,PD00,,OSCCTRL_XOUT,Digital,High Impedance,n/a,No,No,No,FAST
B1,PD12,Eth_REF_CLK,ETH_REF_CLK,Digital,High Impedance,n/a,No,No,No,FAST
B2,PD11,Eth_RXD0,ETH_RXD0,Digital,High Impedance,n/a,No,No,No,FAST
B3,PD09,Digital_Input_17,GPIO,Digital,In,n/a,No,No,No,FAST
B4,PD20,Digital_Input_43,GPIO,Digital,In,n/a,No,No,No,FAST
B5,PD05,Digital_Input_44,GPIO,Digital,In,n/a,No,No,No,FAST
B6,PD18,Digital_Input_15,GPIO,Digital,In,n/a,No,No,No,FAST
B7,PD17,Digital_Input_13,GPIO,Digital,In,n/a,No,No,No,FAST
B8,PD28,RS485_TX2,SERCOM9_PAD0,Digital,High Impedance,n/a,No,No,No,FAST
B9,PD26,RS485_EN1,GPIO,Digital,In/Out,Low,,,No,FAST
B10,PD02,Digital_Input_9,GPIO,Digital,In,n/a,No,No,No,FAST
B11,PD13,Can3_TX,CAN3_TX,Digital,High Impedance,n/a,No,No,No,FAST
C1,PA02,Eth_TXEN,ETH_TXEN,Digital,High Impedance,n/a,No,No,No,FAST
C2,PA01,Eth_TXD0,ETH_TXD0,Digital,High Impedance,n/a,No,No,No,FAST
C17,PC19,,BSDAP_TDO,Digital,High Impedance,n/a,No,No,No,FAST
C18,PC18,,BSDAP_TMS_SWDIO,Digital,High Impedance,n/a,No,No,No,FAST
D1,PA04,Eth_MDIO,ETH_MDIO,Digital,High Impedance,n/a,No,No,No,FAST
D2,PA03,Eth_MDC,ETH_MDC,Digital,High Impedance,n/a,No,No,No,FAST
